@RELATION kuet_validate_department

@ATTRIBUTE Evaluation NUMERIC
@ATTRIBUTE Workload NUMERIC
@ATTRIBUTE FutureMacro NUMERIC
@ATTRIBUTE SupportGap NUMERIC
@ATTRIBUTE Financial NUMERIC
@ATTRIBUTE CGPA_ord NUMERIC
@ATTRIBUTE department {'ARCH','BECM','BME','CE','CHE','CSE','ECE','EEE','IEM','LE','ME','MSE','MTE','TE'}

@DATA
1.667,3.5,3.5,3,1,5,'EEE'
4.667,4.75,4,5,5,2,'MSE'
1.667,2.75,4,4.5,2,4,'TE'
4.667,4,5,3.5,4,3,'EEE'
3,3.75,2.5,3,1,4,'TE'
3,3.25,3.5,2,4,4,'EEE'
3.667,4.75,2,5,5,3,'EEE'
4.333,4,4.5,4.5,3,5,'EEE'
4.667,2.5,3,3.5,4,5,'EEE'
4.333,3.75,4,4,3,4,'BME'
4,4,2.5,3,1,5,'EEE'
5,3.25,4,3.5,5,3,'TE'
5,5,5,3,1,4,'EEE'
4.667,3,4,5,4,4,'EEE'
5,2.75,5,5,3,3,'TE'
3.667,4.25,4,3,5,5,'EEE'
3.667,2.75,4,4.5,4,4,'EEE'
3,4.25,4,2,2,4,'EEE'
4.667,3,5,4,5,3,'TE'
4.667,2,4.5,2,3,5,'EEE'
4.333,1.5,4,1,2,4,'TE'
3,3.25,4,2.5,1,5,'TE'
2.333,3.5,4.5,3,2,5,'EEE'
4,2,2,5,5,5,'TE'
4.667,2.75,5,3,5,4,'TE'
3,4,5,3,5,3,'TE'
3,5,3.5,4,2,4,'EEE'
3.667,3.75,3.5,4.5,5,1,'MSE'
